,display_name,name,start_date,end_date,type,code,capitalization,circulating_cap,market_cap,circulating_market_cap,证监会行业,聚宽二级行业,申万三级行业,概念
002397.XSHE,梦洁股份,MJGF,2010-04-29,2200-01-01,stock,002397.XSHE,74778.1443,64784.8098,33.8745,29.3475,纺织业,家用纺织,家纺III,新零售|智能家居|工业4.0|三胎概念
002398.XSHE,垒知集团,LZJT,2010-05-06,2200-01-01,stock,002398.XSHE,69803.8274,60949.9719,30.7137,26.818,化学原料和化学制品制造业,水泥与混凝土,其他建材III,阿里|数据中心|汽车电子|人工智能|3D打印|风电|碳中和|装配式建筑|一带一路|地下管网|高铁|核电|福建自贸区|储能|数据安全|华为鲲鹏|数字经济|华为欧拉|创新药|ERP概念|华为昇腾|机器人概念|光伏概念|医疗器械概念|水泥概念|腾讯概念|房屋检测|DeepSeek
002399.XSHE,海普瑞,HPR,2010-05-06,2200-01-01,stock,002399.XSHE,146729.6204,124720.1704,141.3006,120.1055,医药制造业,药品制剂,化学制剂III,生物疫苗|深股通|生物医药|融资融券|创新药|24中报预增
002400.XSHE,省广集团,SGJT,2010-05-06,2200-01-01,stock,002400.XSHE,174333.7128,172616.4618,129.7043,128.4266,商务服务业,数字营销,营销代理III,阿里|今日头条|数据中心|区块链|人工智能|跨境电商|大数据|云计算|创投|深股通|职业教育|体育产业|融资融券|参股新三板|粤港澳自贸区|元宇宙|横琴新区|国企改革|数据要素|百度概念|抖音概念|文化传媒概念|腾讯概念|快手概念|国资云|小红书|DeepSeek
002401.XSHE,中远海科,ZYHK,2010-05-06,2200-01-01,stock,002401.XSHE,37166.844,37134.953,47.2391,47.1985,软件和信息技术服务业,系统集成服务,IT服务III,阿里|安防|数据中心|区块链|人工智能|跨境电商|大数据|云计算|智慧城市|智能交通|ETC|碳中和|深股通|上海自贸区|自由贸易港|融资融券|华为鲲鹏|数字经济|统一大市场|机器视觉|信创|国企改革|数据要素|华为概念|航运概念|国资云|DeepSeek
002402.XSHE,和而泰,HET,2010-05-11,2200-01-01,stock,002402.XSHE,92338.9485,81847.8591,236.203,209.3668,计算机、通信和其他电子设备制造业,安防设备及其他,消费电子零部件及组装III,物联网|节能照明|汽车电子|人工智能|5G|智能穿戴|智能家居|智能医疗|语音技术|一带一路|军工|深股通|家用电器|第三代半导体|融资融券|东盟自贸区|粤港澳自贸区|转融券标的|华为海思概念|储能|汽车芯片|比亚迪概念|汽车热管理|机器视觉|新型工业化|智能座舱|人形机器人|商业航天|机器人概念|芯片概念|小米概念|DeepSeek|25一季报预增|25中报预增
002403.XSHE,爱仕达,ASD,2010-05-11,2200-01-01,stock,002403.XSHE,34063.8579,29716.1454,36.1758,31.5585,金属制品业,其他家居,厨房小家电III,工业互联网|独角兽|跨境电商|新零售|特斯拉|深股通|家用电器|土地流转|机器视觉|减速器|互联网保险|新型工业化|人形机器人|机器人概念|独角兽概念|参股保险|智能制造
002404.XSHE,嘉欣丝绸,JXSC,2010-05-11,2200-01-01,stock,002404.XSHE,56005.1541,45554.3431,40.4357,32.8902,纺织服装、服饰业,服装,非运动服装III,石墨烯|互联网金融|跨境电商|工业4.0|供应链金融|长三角一体化|绿色电力|光伏概念|三胎概念
002405.XSHE,四维图新,SWTX,2010-05-18,2200-01-01,stock,002405.XSHE,237064.8814,235558.5905,186.8071,185.6202,软件和信息技术服务业,通用软件,垂直应用软件III,阿里|汽车电子|区块链|人工智能|无人驾驶|共享单车|充电桩|特斯拉|大数据|国产软件|无人机|国产操作系统|胎压监测|智慧城市|智能穿戴|智能交通|军工|深股通|京津冀一体化|融资融券|数据安全|华为汽车|汽车芯片|比亚迪概念|两轮车|MCU芯片|时空大数据|数据要素|智能座舱|小米汽车|人形机器人|低空经济|机器人概念|芯片概念|百度概念|抖音概念|小米概念|MSCI概念|参股保险|华为概念|车联网(车路协同)|DeepSeek
002406.XSHE,远东传动,YDCD,2010-05-18,2200-01-01,stock,002406.XSHE,73022.5082,60221.2898,58.9292,48.5986,汽车制造业,汽车系统部件,底盘与发动机系统III,工业互联网|工业4.0|军工|军民融合|深股通|机器人概念|中俄贸易
002407.XSHE,多氟多,DFD,2010-05-18,2200-01-01,stock,002407.XSHE,119043.2569,107876.7345,395.2236,358.1508,化学原料和化学制品制造业,氟化工,氟化工及制冷剂III,工业互联网|独角兽|特斯拉|创投|深股通|核电|第三代半导体|融资融券|新能源|钠离子电池|储能|PVDF概念|动力电池回收|比亚迪概念|固态电池|氟化工概念|芯片概念|独角兽概念|MSCI概念|锂电池概念
002408.XSHE,齐翔腾达,QXTD,2010-05-18,2200-01-01,stock,002408.XSHE,284285.2807,275109.6824,145.8383,141.1313,化学原料和化学制品制造业,其他化学原料,其他石化III,深股通|可降解塑料|融资融券|油品升级|氢能源|国企改革|24中报预增
